questionText,optionA,optionB,optionC,optionD,answer,subject,topic,classs
What is the process by which new individuals are produced?,Respiration,Reproduction,Digestion,Photosynthesis,b,biology,reproduction,9th
Which type of reproduction involves only one parent?,Asexual,Sexual,Binary,Fertilization,a,biology,reproduction,9th
What is the male reproductive organ in humans?,Ovary,Testes,Penis,Uterus,b,biology,reproduction,9th
Which organ produces eggs in females?,Uterus,Ovary,Fallopian tube,Vagina,b,biology,reproduction,9th
What is fertilization?,Union of sperm and egg,Formation of gametes,Cell division,Embryo development,a,biology,reproduction,9th
Which type of reproduction results in genetically identical offspring?,Asexual,Sexual,Vegetative,Pollination,a,biology,reproduction,9th
What is the mode of reproduction in Amoeba?,Binary fission,Budding,Fragmentation,Spore formation,a,biology,reproduction,9th
Which hormone controls the reproductive cycle in females?,Insulin,Estrogen,Adrenaline,Thyroxine,b,biology,reproduction,9th
Which organ in males produces sperm?,Scrotum,Penis,Testes,Urethra,c,biology,reproduction,9th
What is the term for the fusion of male and female gametes?,Pollination,Fertilization,Germination,Reproduction,b,biology,reproduction,9th
