questionText,optionA,optionB,optionC,optionD,answer,subject,topic,classs
What is the basic unit of life?,Cell,Tissue,Organ,Organ system,a,biology,animalcell,8th
Which organelle controls the activities of a cell?,Mitochondria,Nucleus,Ribosome,Vacuole,b,biology,animalcell,8th
Which part of the cell is known as the ‘powerhouse’?,Nucleus,Ribosome,Mitochondria,Cell membrane,c,biology,animalcell,8th
What protects the cell and gives it shape?,Nucleus,Cytoplasm,Cell membrane,Vacuole,c,biology,animalcell,8th
Which organelle is responsible for protein synthesis?,Lysosome,Chloroplast,Ribosome,Vacuole,c,biology,animalcell,8th
What is the jelly-like substance inside a cell called?,Nucleus,Cytoplasm,Cell wall,Vacuole,b,biology,animalcell,8th
Which organelle is responsible for digestion inside a cell?,Lysosome,Ribosome,Mitochondria,Nucleus,a,biology,animalcell,8th
Which structure separates the nucleus from the cytoplasm?,Nuclear membrane,Cell wall,Cell membrane,Ribosome,a,biology,animalcell,8th
What is the function of mitochondria?,Protein synthesis,Energy production,Digestion,Cell division,b,biology,animalcell,8th
Which organelle helps in packaging and secretion?,Golgi apparatus,Lysosome,Ribosome,Nucleus,a,biology,animalcell,8th
